Sample,Rjct,Data File,Acq. Date-Time,Type,Level,Solution Label,Total Dil.,Vial Number,7  Li  [ No Gas ] ,7  Li  [ He ] ,9  Be  [ No Gas ] ,9  Be  [ He ] ,45  Sc  [ No Gas ] ,45  Sc  [ He ] ,51  V  [ No Gas ] ,51  V  [ He ] ,52  Cr  [ No Gas ] ,52  Cr  [ He ] ,59  Co  [ No Gas ] ,59  Co  [ He ] ,60  Ni  [ No Gas ] ,60  Ni  [ He ] ,63  Cu  [ No Gas ] ,63  Cu  [ He ] ,66  Zn  [ No Gas ] ,66  Zn  [ He ] ,71  Ga  [ No Gas ] ,71  Ga  [ He ] ,85  Rb  [ No Gas ] ,85  Rb  [ He ] ,88  Sr  [ No Gas ] ,88  Sr  [ He ] ,89  Y  [ No Gas ] ,89  Y  [ He ] ,90  Zr  [ No Gas ] ,90  Zr  [ He ] ,95  Mo  [ No Gas ] ,95  Mo  [ He ] ,107  Ag  [ No Gas ] ,107  Ag  [ He ] ,111  Cd  [ No Gas ] ,111  Cd  [ He ] ,118  Sn  [ No Gas ] ,118  Sn  [ He ] ,121  Sb  [ No Gas ] ,121  Sb  [ He ] ,133  Cs  [ No Gas ] ,133  Cs  [ He ] ,137  Ba  [ No Gas ] ,137  Ba  [ He ] ,138  Ba  [ He ] ,139  La  [ No Gas ] ,139  La  [ He ] ,140  Ce  [ No Gas ] ,140  Ce  [ He ] ,141  Pr  [ No Gas ] ,141  Pr  [ He ] ,146  Nd  [ No Gas ] ,146  Nd  [ He ] ,147  Sm  [ No Gas ] ,147  Sm  [ He ] ,153  Eu  [ No Gas ] ,153  Eu  [ He ] ,157  Gd  [ No Gas ] ,157  Gd  [ He ] ,159  Tb  [ No Gas ] ,159  Tb  [ He ] ,163  Dy  [ No Gas ] ,163  Dy  [ He ] ,165  Ho  [ No Gas ] ,165  Ho  [ He ] ,166  Er  [ No Gas ] ,166  Er  [ He ] ,169  Tm  [ No Gas ] ,169  Tm  [ He ] ,172  Yb  [ No Gas ] ,172  Yb  [ He ] ,175  Lu  [ No Gas ] ,175  Lu  [ He ] ,178  Hf  [ No Gas ] ,178  Hf  [ He ] ,181  Ta  [ No Gas ] ,181  Ta  [ He ] ,205  Tl  [ No Gas ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ No Gas ] ,208  Pb  [ He ] ,209  Bi  [ No Gas ] ,209  Bi  [ He ] ,232  Th  [ No Gas ] ,232  Th  [ He ] ,238  U  [ No Gas ] ,238  U  [ He ] ,103  Rh ( ISTD )  [ No Gas ] ,,103  Rh ( ISTD )  [ He ] ,
90  Zr  [ He ] :  CPS RSD value = 5.06 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 171.14 is over the calibration range137  Ba  [ He ] :  Concentration value = 150.47 is over the calibration range138  Ba  [ He ] :  Concentration value = 158.52 is over the calibration range169  Tm  [ No Gas ] :  CPS RSD value = 5.26 is over the allowed maximum = 5.00238  U  [ He ] :  CPS RSD value = 5.69 is over the allowed maximum = 5.00,FALSE,107SMPL.d,14-05-2025 18:46,Sample,,MCS 644,3647.2331,2210,30552.423,30937.78,1824.583,1683.468,8958.406,9459.619,73905.692,66943.201,61791.998,54749.22,8753.108,8540.266,20615.331,20698.534,20459.737,20117.236,62124.811,56711.825,17841.67,21183.283,164814.784,143861.614,42854.753,35768.635,21875.559,22051.826,5976.184,6186.364,471.137,433.853,<0.000,<0.000,<0.000,<0.000,4972.804,5076.756,192.3,146.489,9350.283,9639.517,624183.907,548813.195,578153.95,71779.679,66421.954,149627.348,127105.398,15036.799,15170.217,57965.76,57304.287,10770.801,10870.929,1494.339,1422.234,10052.418,8759.034,1173.955,1078.61,5927.342,5700.122,922.591,905.764,2365.14,2414.904,288.125,283.401,2009.562,2018.215,262.69,257.236,199.155,209.035,1243.278,1212.462,689.41,688.465,29140.426,26424.969,27003.359,27505.492,359.452,322.932,29847.481,30119.527,4332.067,4355.392,,,,
137  Ba  [ No Gas ] :  Concentration value = 345.22 is over the calibration range137  Ba  [ He ] :  Concentration value = 303.82 is over the calibration range138  Ba  [ He ] :  Concentration value = 313.60 is over the calibration range140  Ce  [ No Gas ] :  CPS RSD value = 6.01 is over the allowed maximum = 5.00209  Bi  [ No Gas ] :  CPS RSD value = 6.84 is over the allowed maximum = 5.00,FALSE,108_QC2.d,14-05-2025 18:50,QC2,,SJS-Std,3650.7995,4103,49826.014,55271.924,1537.962,1685.114,9496.323,10304.794,118604.133,106729.777,123444.306,111553.769,11802.612,11814.936,74352.966,76265.536,32151.449,32374.687,95349.191,88682.882,16026.551,16300.336,105401.637,91331.093,279928.95,240421.915,15654.053,15445.493,69633.631,62325.438,3379.126,3399.155,229.405,112.909,422.489,390.731,1468.566,1364.036,1472.243,1471.317,5310.897,5186.859,1260340.684,1109171.049,1144874.933,21005.531,21261.954,43797.549,39444.691,4826.924,4748.068,18719.069,18643.151,3686.582,3687.847,1055.82,872.002,3773.445,3385.506,494.856,475.219,3255.409,3086.558,577.25,584.404,1853.566,1855.379,240.708,231.946,1850.797,1821.179,249.456,226.296,2261.339,2227.804,871.702,917.928,585.356,546.162,22130.323,20172.54,20110.917,20929.975,280.916,260.73,10541.467,10903.09,3612.285,3592.736,,,,
137  Ba  [ No Gas ] :  Concentration value = 218.75 is over the calibration range137  Ba  [ He ] :  Concentration value = 193.44 is over the calibration range138  Ba  [ He ] :  Concentration value = 206.09 is over the calibration range,FALSE,109SMPL.d,14-05-2025 18:55,Sample,,MCS 645,3961.8362,2211,50607.932,51011.341,3757.695,3694.007,14073.258,15010.638,118238.156,110667.647,102547.632,89932.15,17414.145,17380.675,38749.518,40417.795,40768.116,41214.768,99023.842,93235.649,29387.92,32958.82,216327.222,191268.951,63684.047,53375.678,43341.014,40283.733,10972.97,11230.084,786.857,833.386,<0.000,<0.000,<0.000,<0.000,8227.149,8316.679,366.724,297.723,15729.38,15853.549,866639.127,766358.621,816503.959,89645.633,79339.185,178610.786,155384.613,18956.746,18090.784,68686.596,68008.344,13354.548,12872.494,2478.68,2323.41,13182.532,12123.063,1697.905,1501.176,9645.797,9361.449,1674.326,1595.537,4522.721,4548.131,613.471,581.225,4089.13,4082.364,542.049,541.321,392.333,389.005,2040.448,1957.564,1060.556,1133.343,44139.232,41098.147,41652.527,41895.326,861.906,854.305,38513.269,38295.395,6420.941,6596.507,,,,
90  Zr  [ He ] :  CPS RSD value = 5.35 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 270.34 is over the calibration range137  Ba  [ He ] :  Concentration value = 233.41 is over the calibration range138  Ba  [ He ] :  Concentration value = 245.60 is over the calibration range157  Gd  [ No Gas ] :  CPS RSD value = 5.14 is over the allowed maximum = 5.00166  Er  [ No Gas ] :  CPS RSD value = 5.67 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 6.14 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 5.85 is over the allowed maximum = 5.00232  Th  [ He ] :  CPS RSD value = 5.22 is over the allowed maximum = 5.00238  U  [ He ] :  CPS RSD value = 5.44 is over the allowed maximum = 5.00,FALSE,110SMPL.d,14-05-2025 18:59,Sample,,MCS 646,3498.3445,2212,36778.393,36614.089,2712.296,2422.149,13101.502,13883.294,110768.777,104463.995,93452.826,81550.787,15567.682,15764.909,32059.934,31562.415,28455.773,29071.56,85495.645,77126.637,24466.518,28214.913,246076.335,211311.078,77765.619,68737.658,20179.082,20147.786,3175.659,3230.961,330.75,305.505,<0.000,<0.000,9.058,<0.000,7339.619,7234.653,226.864,172.239,10552.936,10781.004,945749.342,816558.365,859183.436,65432.746,59722.81,135582.56,116201.215,13779.307,13362.486,51817.657,51713.456,10070.7,9641.943,1646.591,1536.95,9267.785,8417.743,1096.898,982.659,5408.133,5189.716,857.728,812.212,2225.624,2267.458,266.344,251.7,1942.111,1924.079,241.563,232.388,116.068,122.709,1587.344,1554.102,1067.782,1087.246,25373.109,23664.319,24360.852,24508.04,373.871,348.168,27069.982,25983.563,3466.651,3668.155,,,,
7  Li  [ No Gas ] :  CPS RSD value = 5.07 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 312.36 is over the calibration range137  Ba  [ He ] :  Concentration value = 265.57 is over the calibration range138  Ba  [ He ] :  Concentration value = 278.88 is over the calibration range205  Tl  [ He ] :  CPS RSD value = 6.32 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 8.57 is over the allowed maximum = 5.00,FALSE,111SMPL.d,14-05-2025 19:03,Sample,,MCS 647,3898.381,2301,64367.198,66011.156,3686.869,3958.768,18722.553,19695.099,156259.16,144592.91,128619.215,111580.901,21979.654,21780.761,49016.829,49335.078,47154.969,46583.19,140296.615,128409.624,36555.292,38984.095,323227.088,279400.104,62057.456,51512.321,44583.122,40588.078,15802.065,15819.282,1180.381,1188.826,4.031,<0.000,<0.000,<0.000,9693.429,9815.528,502.835,414.185,18338.836,18621.08,1217680.87,1035309.96,1087179.261,93720.704,85313.638,201858.375,190432.346,19909.377,19571.605,76028.521,77018.481,14995.035,15054.828,2581.902,2452.02,14764.967,13410.868,1812.906,1693.069,10545.924,9920.583,1701.11,1689.737,4856.319,4868.806,631.522,615.687,4405.356,4542.199,593.763,569.165,577.559,546.403,2483.573,2487.345,1516.322,1441.733,49664.128,45944.89,46992.594,46727.486,798.041,774.035,38202.659,37167.886,6584.247,6928.664,,,,
139  La  [ He ] :  CPS RSD value = 6.68 is over the allowed maximum = 5.00163  Dy  [ No Gas ] :  CPS RSD value = 8.91 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 6.24 is over the allowed maximum = 5.00181  Ta  [ No Gas ] :  CPS RSD value = 5.48 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 8.63 is over the allowed maximum = 5.00,FALSE,112_QC1.d,14-05-2025 19:07,QC1,,QC MES 50 ppb,1,4102,57.129,48.843,52.852,50.687,46.042,43.007,52.549,46.685,52.105,45.168,52.763,45.521,45.024,45.649,52.379,46.236,44.639,40.771,52.585,47.954,54.743,47.042,50.219,44.26,55.367,48.23,52.569,48.471,49.261,49.875,56.466,51.979,50.389,50.881,57.938,51.048,56.718,50.704,56.755,51.042,56.483,56.195,54.439,55.761,52.75,57.869,55.375,55.484,55.419,52.648,52.351,50.687,51.27,59.474,53.308,53.089,52.558,59.488,58.872,58.464,53.534,58.704,59.1,58.745,53.696,59.64,58.472,54.249,54.085,57.451,52.789,63.662,53.636,56.005,56.493,63.052,54.674,56.178,58.583,60.811,55.272,62.794,57.698,61.26,61.265,63.396,64.845,,,,
137  Ba  [ No Gas ] :  Concentration value = 216.94 is over the calibration range137  Ba  [ He ] :  Concentration value = 188.23 is over the calibration range138  Ba  [ He ] :  Concentration value = 204.15 is over the calibration range140  Ce  [ He ] :  CPS RSD value = 8.50 is over the allowed maximum = 5.00153  Eu  [ No Gas ] :  CPS RSD value = 5.67 is over the allowed maximum = 5.00166  Er  [ He ] :  CPS RSD value = 6.21 is over the allowed maximum = 5.00169  Tm  [ He ] :  CPS RSD value = 5.17 is over the allowed maximum = 5.00208  Pb  [ No Gas ] :  CPS RSD value = 5.19 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 13.99 is over the allowed maximum = 5.00,FALSE,113SMPL.d,14-05-2025 19:11,Sample,,MCS 648,3597.2853,2302,41773.569,42406.802,3529.599,3719.424,11428.456,11969.639,94849.127,88659.024,79633.214,70870.505,11742.42,11623.226,26811.183,27213.361,22789.241,23055.221,74056.328,67311.412,23888.212,28023.209,194243.878,172257.614,59360.883,50890.111,30335.867,30428.85,12133.828,12443.409,783.592,718.083,47.831,27.813,<0.000,<0.000,6460.8,6373.274,293.558,261.006,12297.218,12468.435,780405.758,677099.276,734376.186,85435.735,73563.661,171356.897,154383.378,17611.245,16688.683,65281.111,66510.946,12611.759,12277.712,2058.207,1915.292,12051.108,10395.218,1423.791,1330.458,8091.918,7619.697,1233.448,1212.608,3556.094,3607.8,442.64,439.467,3097.552,3098.461,405.578,380.104,467.927,481.102,2832.603,2871.782,990.224,981.409,36383.003,33684.778,35270.564,34869.256,492.301,468.132,33156.475,33486.535,5123.902,5424.924,,,,
95  Mo  [ He ] :  CPS RSD value = 5.95 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 242.91 is over the calibration range137  Ba  [ He ] :  Concentration value = 212.41 is over the calibration range138  Ba  [ He ] :  Concentration value = 214.28 is over the calibration range178  Hf  [ No Gas ] :  CPS RSD value = 5.75 is over the allowed maximum = 5.00208  Pb  [ No Gas ] :  CPS RSD value = 5.09 is over the allowed maximum = 5.00232  Th  [ No Gas ] :  CPS RSD value = 5.31 is over the allowed maximum = 5.00,FALSE,114SMPL.d,14-05-2025 19:15,Sample,,MCS 649,3773.9152,2303,65045.108,64707.362,6410.234,5887.934,16212.362,17409.57,136951.572,125689.938,118830.522,107545.622,20654.56,20493.587,48764.861,48807.537,50100.541,50726.844,122788.384,115376.456,34262.266,38523.149,240391.009,211312.373,63052.207,52098.106,53480.781,48900.257,22464.741,22320.198,3179.569,3002.099,53.107,16.413,1941.815,1913.383,8799.568,9094.929,467.293,397.046,20087.93,19839.856,916721.23,801610.305,808691.939,91220.273,84506.005,188612.637,176745.266,18911.187,18732.314,72373.804,72128.544,13809.151,13834.406,2569.038,2433.502,14053.633,12713.946,1848.578,1746.616,11186.017,10155.911,1900.407,1930.468,5396.386,5327.464,738.185,701.439,4714.483,4795.811,653.213,626.856,789.396,773.684,2440.219,2306.516,3102.797,3173.282,52536.788,46770.698,48513.73,49005.402,1127.336,1060.596,35951.082,36842.625,8164.789,8297.846,,,,
137  Ba  [ No Gas ] :  Concentration value = 214.54 is over the calibration range137  Ba  [ He ] :  Concentration value = 188.13 is over the calibration range138  Ba  [ He ] :  Concentration value = 196.55 is over the calibration range175  Lu  [ No Gas ] :  CPS RSD value = 5.25 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 12.64 is over the allowed maximum = 5.00,FALSE,115SMPL.d,14-05-2025 19:19,Sample,,MCS 650,3573.9659,2304,35586.257,38006.251,3339.368,3233.379,12186.742,13287.107,104548.271,94252.49,83998.674,73305.804,13937.016,13868.555,29723.175,29215.744,26274.753,25709.567,75995.597,68098.254,23425.092,26518.911,211009.668,183132.982,71454.286,59956.517,30779.516,30217.309,17306.956,17557.426,307.666,316.256,<0.000,<0.000,115.105,67.945,6452.488,6462.543,530.636,476.966,10502.147,10628.921,766756.74,672364.845,702461.996,73232.422,65845.504,148019.955,127285.264,15241.031,15076.99,56190.883,56490.595,10572.434,10871.63,1796.992,1718.247,10420.695,9172.993,1275.441,1215.704,7311.526,6810.802,1213.818,1201.978,3315.775,3422.104,442.316,428.26,2962.341,2896.031,374.104,343.924,623.097,572.586,1684.835,1636.276,1009.389,997.231,33323.272,30404.275,31188.896,31630.377,584.283,528.067,29120.075,28997.378,4809.788,4797.354,,,,
89  Y  [ No Gas ] :  CPS RSD value = 10.02 is over the allowed maximum = 5.00118  Sn  [ He ] :  CPS RSD value = 7.72 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 220.81 is over the calibration range137  Ba  [ He ] :  Concentration value = 195.95 is over the calibration range138  Ba  [ He ] :  Concentration value = 202.19 is over the calibration range140  Ce  [ He ] :  CPS RSD value = 6.47 is over the allowed maximum = 5.00153  Eu  [ He ] :  CPS RSD value = 5.45 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 5.23 is over the allowed maximum = 5.00238  U  [ He ] :  CPS RSD value = 7.26 is over the allowed maximum = 5.00,FALSE,116SMPL.d,14-05-2025 19:23,Sample,,MCS 651,3943.1,2305,46900.06,48206.828,3003.389,3057.654,13520.596,14481.514,116728.598,104830.753,95013.106,85637.569,14301.227,13627.362,33416.069,34590.912,31192.436,30687.265,86961.347,81813.305,27787.799,32383.42,220901.237,190812.582,53368.698,43593.134,37595.773,35058.901,15434.722,15357.71,679.602,638.374,<0.000,<0.000,<0.000,<0.000,7759.652,7455.021,290.27,235.006,14493.052,14286.345,870658.652,772647.657,797244.06,92784.083,82832.671,186650.009,167495.955,19047.133,18678.422,71328.376,70669.026,13814.16,13860.958,2191.853,2071.238,13140.839,12037.79,1644.906,1500.897,8628.036,8477.569,1500.133,1437.276,3917.542,4027.08,523.151,483.558,3475.841,3371.715,461.7,410.983,509.485,486.59,1902.017,1835.086,1039.159,1061.987,39177.324,35249.327,36344.438,36813.706,608.432,588.612,37705.399,37540.874,5589.723,5836.941,,,,
89  Y  [ No Gas ] :  CPS RSD value = 9.47 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 203.64 is over the calibration range137  Ba  [ He ] :  Concentration value = 175.80 is over the calibration range138  Ba  [ He ] :  Concentration value = 182.68 is over the calibration range,FALSE,117SMPL.d,14-05-2025 19:27,Sample,,MCS 652,3629.7629,2306,46436.819,43033.844,3545.757,3417.891,13699.152,14435.194,115990.358,108484.235,88326.039,76774.199,15271.762,15619.306,34061.076,33408.585,32876.196,33420.938,91950.371,84991.193,25295.737,28378.306,229874.663,198579.89,59204.359,49991.343,33964.956,32703.176,18076.533,18628.221,710.855,637.148,<0.000,<0.000,<0.000,<0.000,6840.848,7045.954,679.393,669.729,12959.043,13078.772,739177.751,638119.553,663087.048,60568.391,55309.167,125898.728,105509.874,12919.119,12791.157,48320.381,48007.855,9486.99,9206.243,1829.859,1751.633,9469.542,8620.061,1245.578,1127.866,7720.618,7123.189,1297.1,1333.183,3852.238,3880.335,488.726,488.753,3405.368,3367.387,426.049,425.471,668.37,669.647,1728.973,1690.769,1056.024,1083.816,37697.745,34885.712,36569.043,35815.178,830.854,840.948,25452.794,24387.527,4702.827,4883.403,,,,
137  Ba  [ No Gas ] :  Concentration value = 177.67 is over the calibration range137  Ba  [ He ] :  Concentration value = 155.01 is over the calibration range138  Ba  [ He ] :  Concentration value = 159.74 is over the calibration range205  Tl  [ He ] :  CPS RSD value = 7.91 is over the allowed maximum = 5.00209  Bi  [ No Gas ] :  CPS RSD value = 6.68 is over the allowed maximum = 5.00,FALSE,118SMPL.d,14-05-2025 19:31,Sample,,MCS 653,3672.168,2307,34534.385,34853.015,3045.465,2983.227,11382.164,12274.041,77914.385,73444.171,68600.52,61140.171,11932.806,11887.402,25611.121,25957.321,22407.695,22243.704,60358.79,54178.111,20177.596,24318.218,171951.462,146336.307,42763.15,35984.374,25201.997,25302.932,11602.362,11651.311,1802.101,1814.696,<0.000,<0.000,1005.176,967.058,4585.549,4495.917,208.281,130.364,11569.272,11548.417,652448.767,569211.622,586585.085,77360.659,69506.602,160115.33,133568.683,16368.042,16636.889,63472.203,61298.79,11931.515,12569.441,1918.357,1833.892,11334.599,9796.227,1361.89,1250.754,6869.575,6670.424,1107.25,1100.961,3074.731,3035.824,403.52,375.425,2783.264,2782.4,368.376,346.096,388.962,377.24,1214.475,1223.483,1944.011,1878.302,35454.301,31313.252,32336.864,32615.085,372.269,369.06,31135.223,31009.043,5340.707,5606.622,,,,
118  Sn  [ No Gas ] :  CPS RSD value = 5.39 is over the allowed maximum = 5.00121  Sb  [ No Gas ] :  CPS RSD value = 6.04 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 236.96 is over the calibration range137  Ba  [ He ] :  Concentration value = 209.48 is over the calibration range138  Ba  [ He ] :  Concentration value = 214.97 is over the calibration range163  Dy  [ He ] :  CPS RSD value = 5.12 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 6.64 is over the allowed maximum = 5.00,FALSE,119SMPL.d,14-05-2025 19:36,Sample,,MCS 654,3838.8983,2308,36475.83,36650.535,2649.557,2657.903,17120.622,18194.028,132205.225,122773.312,107995.952,93938.352,15632.794,15637.068,36946.515,36139.185,37573.265,37679.036,83731.441,74681.137,30887.953,33325.097,249382.93,216903.548,46513.18,38695.09,23015.808,23141.811,9738.589,9776.126,947.053,923.377,<0.000,<0.000,82.632,37.841,8721.489,8563.53,526.797,456.611,11378.757,11365.375,909680.331,804156.69,825238.042,75966.162,71552.713,170750.642,142258.536,16076.441,16222.692,64391.846,63155.505,11747.213,11797.969,1965.688,1872.006,11064.866,9859.191,1308.887,1240.742,7061.565,6533.098,1024.867,1052.891,2799.772,2818.914,335.817,311.687,2270.198,2285.064,278.283,283.086,353.032,335.45,2131.352,2095.442,1102.428,1101.793,32767.945,28855.517,29621.708,30613.399,638.998,609.177,34305.59,34440.757,5590.925,6046.32,,,,
137  Ba  [ No Gas ] :  Concentration value = 242.24 is over the calibration range137  Ba  [ He ] :  Concentration value = 204.78 is over the calibration range138  Ba  [ He ] :  Concentration value = 220.64 is over the calibration range169  Tm  [ He ] :  CPS RSD value = 7.67 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 9.81 is over the allowed maximum = 5.00,FALSE,120SMPL.d,14-05-2025 19:40,Sample,,MCS 655,3817.9061,2309,51641.795,51426.016,4341.255,3806.521,15473.999,16345.219,126936.829,114773.117,106271.317,93917.837,19506.626,18799.818,42792.055,42777.179,35322.331,34860.328,101739.812,91146.934,31586.106,33885.883,233461.412,202590.359,68658.214,55978.493,31532.769,32116.822,14205.169,14024.275,2339.769,2312.253,2176.107,2145.351,1307.185,1217.829,7991.811,7855.819,455.729,403.655,15994.638,16154.919,924846.294,781817.78,842389.319,73072.368,66693.648,157363.718,134189.552,15444.799,15406.884,60902.364,59813.811,11727.945,11705.222,2186.26,2036.21,11742.131,10197.323,1414.769,1365.114,8320.102,7798.178,1349.112,1336.208,3840.157,3836.102,505.18,472.052,3429.714,3559.029,469.483,440.74,506.579,486.09,2055.609,1980.292,2379.192,2415.622,49570.285,46017.213,47602.96,47665.127,645.725,599.407,30905.711,30338.272,6331.502,6434.622,,,,
63  Cu  [ He ] :  CPS RSD value = 5.40 is over the allowed maximum = 5.0090  Zr  [ No Gas ] :  CPS RSD value = 8.39 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 359.96 is over the calibration range137  Ba  [ He ] :  Concentration value = 304.57 is over the calibration range138  Ba  [ He ] :  Concentration value = 317.92 is over the calibration range140  Ce  [ No Gas ] :  CPS RSD value = 6.94 is over the allowed maximum = 5.00172  Yb  [ He ] :  CPS RSD value = 5.10 is over the allowed maximum = 5.00181  Ta  [ No Gas ] :  CPS RSD value = 5.68 is over the allowed maximum = 5.00,FALSE,121_QC2.d,14-05-2025 19:44,QC2,,SJS-Std,3650.7995,4103,50574.381,54985.509,1544.397,1988.434,9303.97,9709.848,120102.543,107571.287,121565.77,110744.452,12081.759,11835.226,72887.129,77381.928,32669.683,32691.422,93863.705,90557.444,16081.233,16430.535,104331.977,92624.74,277929.086,243108.29,15867.4,15798.949,64043.295,63012.136,3311.106,3388.56,283.905,176.778,440.809,362.45,1442.397,1485.557,1502.266,1363.431,5278,5252.086,1314134.562,1111930.58,1160656.165,20709.183,20941.783,45372.648,40322.143,4673.701,4759.67,19338.159,18844.685,3695.261,3622.335,1058.106,888.504,3787.529,3461.512,499.237,453.023,3325.568,3172.227,603.687,593.438,1790.996,1892.045,240.032,228.663,1852.699,1897.631,248.963,241.517,2408.261,2387.463,797.79,828.621,594.054,575.282,23066.129,20682.46,20642.404,21485.569,287.274,244.654,10779.43,11194.01,3701.429,3829.237,,,,
137  Ba  [ No Gas ] :  Concentration value = 177.02 is over the calibration range137  Ba  [ He ] :  Concentration value = 154.42 is over the calibration range138  Ba  [ He ] :  Concentration value = 159.09 is over the calibration range166  Er  [ He ] :  CPS RSD value = 7.95 is over the allowed maximum = 5.00,FALSE,122SMPL.d,14-05-2025 19:48,Sample,,MCS 656,3477.9798,2310,27670.432,27709.22,2559.346,2825.407,8180.966,8910.183,71442.63,65527.195,55369.309,48702.412,8980.344,9053.914,18737.411,18481.527,20955.471,21050.345,60167.691,54073.473,16219.194,18681.581,165560.149,139576.003,80355.284,69320.797,21163.388,21429.603,8130.192,8206.002,300.228,303.727,<0.000,<0.000,<0.000,<0.000,4516.998,4370.284,424.625,367.715,8158.235,7821.81,615682.734,537070.534,553327.136,60764.29,53858.289,122222.849,105409.916,12588.475,12037.136,47180.12,47385.628,8827.59,8356.937,1518.853,1446.513,8300.695,7094.931,1010.225,923.505,5534.169,5203.791,919.128,872.478,2563.678,2477.572,314.406,286.012,2149.656,2098.594,263.77,253.381,302.919,295.742,1142.109,1109.454,740.532,719.907,31193.658,29201.206,30012.599,29709.107,425.025,359.944,24346.083,24604.385,3891.214,4041.846,,,,
137  Ba  [ No Gas ] :  Concentration value = 243.52 is over the calibration range137  Ba  [ He ] :  Concentration value = 208.89 is over the calibration range138  Ba  [ He ] :  Concentration value = 220.88 is over the calibration range175  Lu  [ No Gas ] :  CPS RSD value = 5.53 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 5.98 is over the allowed maximum = 5.00209  Bi  [ No Gas ] :  CPS RSD value = 5.77 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 13.29 is over the allowed maximum = 5.00,FALSE,123SMPL.d,14-05-2025 19:52,Sample,,MCS 657,3580.6023,2311,40182.17,44617.835,3008.559,2743.503,13674.489,14682.662,115984.372,105656.512,96682.642,85370.293,14323.684,14252.933,35521.552,35014.624,36310.666,35940.242,77795.654,71073.198,26845.992,30383.321,218814.861,193079.954,65007.03,53197.855,25666.414,26070.892,11385.261,11350.248,684.523,729.297,<0.000,<0.000,40.563,12.605,7535.242,7372.651,382.075,294.129,12242.211,12264.243,871960.609,747940.321,790874.991,85433.127,76639.025,179004.444,168526.95,17804.453,17658.668,67738.462,67878.455,12876.951,12799.987,1996.426,1853.6,12083.28,11039.294,1465.093,1311.631,7412.206,7101.913,1164.705,1079.604,3061.482,3000.659,388.914,365.033,2551.397,2566.999,324.972,310.786,374.905,381.293,3261.796,3108.245,1071.172,1061.399,35738.489,32431.611,33944.163,33621.3,746.783,696.329,37478.836,37589.051,5661.248,5834.165,,,,
139  La  [ He ] :  CPS RSD value = 6.10 is over the allowed maximum = 5.00157  Gd  [ No Gas ] :  CPS RSD value = 5.08 is over the allowed maximum = 5.00178  Hf  [ He ] :  CPS RSD value = 5.06 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 5.35 is over the allowed maximum = 5.00,FALSE,124_QC1.d,14-05-2025 19:56,QC1,,QC MES 50 ppb,1,4102,56.185,51.513,53.472,52.582,46.838,43.519,53.191,48.095,51.323,45.935,52.523,46.33,45.981,46.665,51.874,46.878,44.813,41.298,53.697,48.372,54.718,47.218,52.217,45.586,55.579,49.231,54.008,49.548,49.997,50.079,57.907,49.713,52.623,52.634,58.249,50.566,58.158,52.021,57.945,51.588,57.396,57.555,54.404,57.95,56.662,58.859,55.067,58.062,57.13,52.495,54.118,52.562,53.197,58.494,54.638,57.224,55.496,59.213,58.701,64.904,54.738,59.857,59.647,61.69,55.019,59.956,60.807,56.256,56.202,59.219,54.096,64.839,56.004,60.217,59.864,63.529,55.179,58.962,56.237,62.495,56.943,62.659,59.528,62.748,63.895,63.939,64.405,,,,
